frame_number,cpu_time_ms,ppu_time_ms,ppu_oam_scan_time_ms,ppu_draw_pixels_time_ms,ppu_hblank_time_ms,ppu_vblank_time_ms,mmio_time_ms,lcd_time_ms,sdl_events_time_ms,debugger_time_ms,interrupt_time_ms,other_time_ms,total_frame_time_ms
1,3.0672,0.5735,1.7015,22.8369,3.0689,9.7774,0.6064,0.0000,2.9307,0.5437,0.4911,0.0000,45.5976
2,1.8957,0.3381,2.6593,23.1266,2.9578,0.8466,0.3544,0.0000,0.4980,0.3052,0.2685,0.0000,33.2504
3,1.5376,0.2842,1.2526,17.0619,2.2347,0.8135,0.3215,0.0000,0.0359,0.2757,0.2348,0.0000,24.0525
4,1.7507,0.2822,1.5161,20.6291,3.3350,1.1354,0.2941,0.0000,0.0240,0.2621,0.2254,0.0000,29.4544
5,1.5789,0.2565,1.3246,17.8860,2.4263,1.0696,0.2661,0.0000,0.0224,0.2365,0.2103,0.0000,25.2774
6,1.6641,0.2698,1.4406,20.0040,2.6129,1.0714,0.2827,0.0000,0.0161,0.2475,0.2191,0.0000,27.8285
7,1.3134,0.2324,1.1447,15.4323,2.0864,0.8707,0.2379,0.0000,0.0193,0.2113,0.1887,0.0000,21.7376
8,1.6409,0.2705,1.4381,19.3702,2.6180,0.7788,0.2839,0.0000,0.0159,0.2353,0.2137,0.0000,26.8655
9,1.7977,0.2967,1.5654,21.1722,2.8395,1.2972,0.3027,0.0000,0.0214,0.2618,0.2315,0.0000,29.7863
10,1.5708,0.2627,1.3430,18.3179,2.4257,0.7738,0.2709,0.0000,0.0166,0.2405,0.2139,0.0000,25.4361
11,1.6788,0.2690,1.4474,19.6685,2.6455,0.9339,0.2807,0.0000,0.0215,0.2429,0.2153,0.0000,27.4038
12,1.1903,0.2082,1.0145,13.2342,1.8381,0.6999,0.2173,0.0000,0.0140,0.2004,0.1791,0.0000,18.7961
13,1.2871,0.2212,1.1323,15.1858,2.0538,0.7449,0.2357,0.0000,0.0158,0.2045,0.1832,0.0000,21.2645
14,1.8404,0.2760,1.6248,22.0139,2.9534,0.9224,0.2986,0.0000,0.0211,0.2522,0.2209,0.0000,30.4238
15,1.7471,0.2762,1.5210,20.4872,2.7387,1.0658,0.2928,0.0000,0.0197,0.2536,0.2240,0.0000,28.6262
16,1.2873,0.2240,1.0950,14.4540,1.9831,0.7172,0.2345,0.0000,0.0116,0.2136,0.1928,0.0000,20.4132
17,1.2868,0.2168,1.1307,14.7006,2.0796,0.7835,0.2283,0.0000,0.0158,0.2044,0.1845,0.0000,20.8311
18,1.5725,0.2538,1.3605,18.3733,2.4756,0.7680,0.2702,0.0000,0.0130,0.2383,0.2089,0.0000,25.5341
19,1.6655,0.2663,1.4463,19.4384,2.5951,0.7871,0.2827,0.0000,0.0119,0.2558,0.2179,0.0000,26.9671
20,1.0741,0.1996,0.9461,12.1583,1.7384,0.5190,0.2183,0.0000,0.0103,0.1928,0.1775,0.0000,17.2345
21,1.3892,0.2212,1.2325,16.3633,2.2500,0.7853,0.2360,0.0000,0.0210,0.2209,0.1834,0.0000,22.9030
22,1.6198,0.2574,1.4144,19.0700,2.5500,0.8735,0.2718,0.0000,0.0150,0.2293,0.1973,0.0000,26.4986
23,1.4628,0.2353,1.2932,17.0102,2.2651,1.1949,0.2443,0.0000,0.0123,0.2196,0.1889,0.0000,24.1268
24,1.1467,0.1993,1.0297,13.4165,1.9946,0.7353,0.2146,0.0000,0.0171,0.1925,0.1711,0.0000,19.1176
25,1.6488,0.2594,1.4252,19.1157,2.5687,0.9083,0.2687,0.0000,0.0170,0.2322,0.2042,0.0000,26.6482
26,1.8394,0.2915,1.7325,21.4895,2.9097,0.8559,0.3002,0.0000,0.0158,0.2620,0.2257,0.0000,29.9225
27,1.3508,0.2313,1.1340,14.9686,2.1182,1.0766,0.2409,0.0000,0.0174,0.2172,0.1948,0.0000,21.5500
28,1.7382,0.2733,1.5180,20.3887,2.7396,1.0088,0.2837,0.0000,0.0167,0.2426,0.2123,0.0000,28.4220
29,1.3990,0.2395,1.2520,16.7480,2.3380,0.8448,0.2550,0.0000,0.0188,0.2211,0.1981,0.0000,23.5143
30,1.2312,0.2159,1.0487,13.4499,1.9120,0.7214,0.2255,0.0000,0.0148,0.2197,0.1957,0.0000,19.2351
31,1.3577,0.2315,1.2166,15.9394,2.2240,0.6042,0.2462,0.0000,0.0192,0.2144,0.1928,0.0000,22.2463
32,1.6613,0.2842,1.4225,19.2811,2.5823,0.8017,0.2836,0.0000,0.0197,0.2428,0.2147,0.0000,26.7941
33,1.3964,0.2402,1.1961,15.7462,2.1712,0.7972,0.2468,0.0000,0.0138,0.2215,0.1984,0.0000,22.2283
34,1.0557,0.1952,0.9355,11.9047,1.7001,0.4843,0.2018,0.0000,0.0102,0.1943,0.1724,0.0000,16.8545
35,1.5085,0.2421,1.3520,18.5197,2.4503,0.5783,0.2541,0.0000,0.0155,0.2234,0.1899,0.0000,25.3340
36,1.6894,0.2629,1.4708,19.5558,2.6234,1.0734,0.2735,0.0000,0.0247,0.2362,0.2082,0.0000,27.4186
37,1.4153,0.2378,1.1913,15.7441,2.1509,0.7891,0.2440,0.0000,0.0134,0.2206,0.2105,0.0000,22.2173
38,1.0213,0.1935,0.9182,11.5307,1.6944,0.5734,0.1997,0.0000,0.0118,0.1899,0.1758,0.0000,16.5087
39,0.9311,0.1782,0.8113,10.2339,1.4977,0.4818,0.1774,0.0000,0.0114,0.1669,0.1535,0.0000,14.6433
40,0.9912,0.1756,0.8509,10.9585,1.5578,0.6563,0.1867,0.0000,0.0157,0.1669,0.1639,0.0000,15.7235
41,1.4527,0.2285,1.2552,17.2459,3.8438,0.9828,0.2586,0.0000,0.0163,0.2211,0.1846,0.0000,25.6897
42,1.6810,0.2591,1.4236,19.5926,2.5996,0.8279,0.2737,0.0000,0.0197,0.2309,0.2071,0.0000,27.1155
43,1.2430,0.2137,1.0422,13.2696,1.8830,1.0964,0.2207,0.0000,0.0251,0.2020,0.1833,0.0000,19.3792
44,1.7399,0.2680,1.4798,20.2116,2.6640,0.8594,0.2757,0.0000,0.0178,0.2436,0.2136,0.0000,27.9736
45,1.5959,0.2751,1.3803,18.6624,2.5474,0.7696,0.2706,0.0000,0.0116,0.3001,0.2188,0.0000,26.0319
46,1.0892,0.2066,0.9793,12.5173,1.7905,0.5487,0.2140,0.0000,0.0123,0.2004,0.1852,0.0000,17.7437
47,1.4534,0.2474,1.3084,17.3070,2.3627,0.5219,0.2664,0.0000,0.0222,0.2314,0.2088,0.0000,23.9298
48,1.5893,0.2560,1.4059,18.8588,2.5492,0.5556,0.2651,0.0000,0.0121,0.2342,0.2036,0.0000,25.9301
49,1.5140,0.2545,1.3476,18.1314,2.4475,0.6089,0.2644,0.0000,0.0147,0.2348,0.2069,0.0000,25.0250
50,1.1597,0.2065,1.0141,13.2321,1.8725,0.7001,0.2203,0.0000,0.0196,0.1993,0.1788,0.0000,18.8031
51,1.6262,0.2538,1.4203,19.1278,2.5581,1.3478,0.2690,0.0000,0.0212,0.2423,0.2049,0.0000,27.0719
52,1.6039,0.2579,1.3792,18.5123,2.5232,0.7560,0.2711,0.0000,0.0161,0.2413,0.2138,0.0000,25.7749
53,1.1277,0.2130,0.9944,12.7024,1.8310,0.5815,0.2167,0.0000,0.0136,0.2047,0.1861,0.0000,18.0713
54,1.3837,0.2292,1.1845,15.7313,2.1700,1.1566,0.2367,0.0000,0.0186,0.2096,0.1864,0.0000,22.5067
55,1.5939,0.2560,1.3893,18.5456,2.5087,0.9566,0.2796,0.0000,0.0213,0.2431,0.2081,0.0000,26.0023
56,1.4294,0.2412,1.2102,16.8382,2.2088,0.8006,0.2567,0.0000,0.0140,0.2267,0.2041,0.0000,23.4302
57,1.0908,0.2045,0.9655,12.1905,1.7839,0.5711,0.2105,0.0000,0.0133,0.1969,0.1809,0.0000,17.4080
58,1.6613,0.2565,1.5921,19.7145,2.6979,0.7934,0.2851,0.0000,0.0168,0.2470,0.2118,0.0000,27.4766
